lhood_heb L_heb pr_heb lhood_heb_Px2 L_heb_Px2 pr_heb_Px2 lhood_eb L_eb pr_eb lhood_eb_Px2 L_eb_Px2 pr_eb_Px2 lhood_beb L_beb pr_beb lhood_beb_Px2 L_beb_Px2 pr_beb_Px2 lhood_pl L_pl pr_pl fpV fp FPP
0.00e+00 0.00e+00 0.00e+00 2.20e-94 1.61e-99 4.75e-97 8.04e-274 1.66e-276 4.90e-274 9.73e-98 3.05e-102 8.99e-100 4.65e-04 7.44e-07 2.19e-04 1.16e-22 1.38e-25 4.07e-23 7.38e-01 3.39e-03 1.00e+00 0.0039 0.089 2.19e-04
0.00e+00 0.00e+00 0.00e+00 2.87e-96 1.78e-101 5.00e-99 2.04e-285 3.97e-288 1.12e-285 1.07e-88 2.05e-93 5.75e-91 2.02e-04 3.31e-07 9.30e-05 1.51e-21 1.78e-24 5.00e-22 7.75e-01 3.56e-03 1.00e+00 0.00165 0.089 9.30e-05
0.00e+00 0.00e+00 0.00e+00 2.37e-99 1.78e-104 5.15e-102 7.03e-265 1.42e-267 4.10e-265 3.04e-98 7.67e-103 2.22e-100 5.01e-04 8.03e-07 2.32e-04 2.82e-21 3.46e-24 1.00e-21 7.53e-01 3.46e-03 1.00e+00 0.00412 0.089 2.32e-04
0.00e+00 0.00e+00 0.00e+00 6.34e-88 3.10e-93 9.31e-91 4.78e-278 9.08e-281 2.73e-278 1.31e-98 3.92e-103 1.18e-100 4.32e-04 7.05e-07 2.12e-04 4.72e-23 5.63e-26 1.69e-23 7.25e-01 3.33e-03 1.00e+00 0.00376 0.089 2.12e-04
0.00e+00 0.00e+00 0.00e+00 5.29e-97 2.88e-102 8.38e-100 1.15e-254 2.29e-257 6.67e-255 5.87e-91 1.44e-95 4.18e-93 5.58e-04 8.99e-07 2.62e-04 1.29e-22 1.51e-25 4.40e-23 7.49e-01 3.44e-03 1.00e+00 0.00464 0.089 2.62e-04
0.00e+00 0.00e+00 0.00e+00 1.49e-96 9.76e-102 2.89e-99 8.39e-272 1.57e-274 4.66e-272 1.66e-91 4.44e-96 1.31e-93 2.93e-04 4.78e-07 1.41e-04 5.90e-21 7.11e-24 2.10e-21 7.36e-01 3.38e-03 1.00e+00 0.00251 0.089 1.41e-04
0.00e+00 0.00e+00 0.00e+00 2.29e-84 6.88e-90 2.01e-87 4.12e-283 8.20e-286 2.40e-283 6.45e-91 1.53e-95 4.48e-93 2.24e-04 3.66e-07 1.07e-04 4.89e-23 5.77e-26 1.69e-23 7.44e-01 3.42e-03 1.00e+00 0.0019 0.089 1.07e-04
0.00e+00 0.00e+00 0.00e+00 9.17e-97 5.33e-102 1.57e-99 3.30e-280 6.48e-283 1.91e-280 9.98e-94 2.44e-98 7.18e-96 1.19e-04 1.91e-07 5.62e-05 8.19e-26 9.75e-29 2.87e-26 7.41e-01 3.40e-03 1.00e+00 0.000997 0.089 5.62e-05
0.00e+00 0.00e+00 0.00e+00 3.44e-89 1.93e-94 5.74e-92 1.09e-285 2.07e-288 6.15e-286 7.31e-92 2.46e-96 7.29e-94 4.99e-04 8.23e-07 2.44e-04 5.93e-22 7.14e-25 2.12e-22 7.34e-01 3.37e-03 1.00e+00 0.00433 0.089 2.44e-04
0.00e+00 0.00e+00 0.00e+00 1.96e-101 1.51e-106 4.29e-104 1.23e-271 2.39e-274 6.80e-272 5.72e-98 2.06e-102 5.85e-100 1.48e-04 2.37e-07 6.73e-05 3.91e-22 4.66e-25 1.32e-22 7.66e-01 3.52e-03 1.00e+00 0.0012 0.089 6.73e-05
0.00e+00 0.00e+00 0.00e+00 4.82e-93 2.90e-98 8.21e-96 4.28e-276 8.57e-279 2.43e-276 7.97e-96 2.13e-100 6.04e-98 1.04e-04 1.65e-07 4.69e-05 2.41e-22 2.87e-25 8.13e-23 7.69e-01 3.53e-03 1.00e+00 0.000832 0.089 4.69e-05
0.00e+00 0.00e+00 0.00e+00 1.81e-92 1.09e-97 3.11e-95 2.14e-279 4.18e-282 1.20e-279 3.37e-92 9.79e-97 2.80e-94 3.83e-04 6.05e-07 1.73e-04 1.58e-25 1.91e-28 5.45e-26 7.63e-01 3.50e-03 1.00e+00 0.00307 0.089 1.73e-04
